,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
70,595280,Throne of Lies®: Medieval Politics,throne_of_lies_medieval_politics,https://cdn.cloudflare.steamstatic.com/steam/apps/595280/header.jpg?t=1639047602,2690,60.2828,2690,1944,-1,0.485452,2017-09-29,0,0,1,1,0,1381,-1,0,-1,,2213.0,42,331,703,999.0,"48137,53240",53240,"Imperium42®, LLC, PT.farm Inc.",PT.farm Inc.,Discord
71,1620690,Rubber Bandits: Summer Prologue,rubber_bandits_summer_prologue,https://cdn.cloudflare.steamstatic.com/steam/apps/1620690/header.jpg?t=1623135824,2647,89.2516,2647,-1,-1,0.730067,2021-05-28,0,0,1,0,0,2473,4466,-2,-1,,11683.0,-1,-1,-1,,47785,7763,Flashbulb,Flashbulb,Discord
72,269190,Edge Of Eternity,edge_of_eternity,https://cdn.cloudflare.steamstatic.com/steam/apps/269190/header.jpg?t=1639672750,2581,58.9192,2839,2581,-1,0.45212,2021-06-08,2999,2999,0,0,0,731,84527,-1,879,,10298.0,57,87,141,1999.0,16343,"186,1095",Midgar Studio,"Maple Whispering Limited, Dear Villagers",Discord
73,1280770,Redmatch 2,redmatch_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1280770/header.jpg?t=1640220915,2508,85.4451,2508,-1,-1,0.901297,2021-06-24,0,0,1,0,0,376,1381,-2,7124,,,-1,-1,-1,,46476,46476,Rugbug Redfern,Rugbug Redfern,Discord
74,1069640,This Land Is My Land,this_land_is_my_land,https://cdn.cloudflare.steamstatic.com/steam/apps/1069640/header.jpg?t=1644306444,2502,62.596,2786,2502,-1,0.537288,2021-10-20,2999,2999,0,0,0,829,83004,-1,1109,,18936.0,50,159,408,3999.0,2055,2055,Game-Labs,Game-Labs,Discord
75,663390,Rento Fortune: Online Dice Board Game (大富翁),rento_fortune_online_dice_board_game,https://cdn.cloudflare.steamstatic.com/steam/apps/663390/header.jpg?t=1640778895,2278,39.7223,2627,2278,-1,-1.0,2017-07-14,499,499,0,0,0,3440,12574,0,2198,,17455.0,13,23,51,499.0,501,501,LAN - GAMES LTD,LAN - GAMES LTD,Discord
76,998740,Ring of Pain,ring_of_pain,https://cdn.cloudflare.steamstatic.com/steam/apps/998740/header.jpg?t=1639177094,2130,77.7687,2781,2130,-1,0.797752,2020-10-15,999,1999,0,0,0,1233,7181,0,1965,,5227.0,171,291,588,1999.0,"10747,10748",3897,"Simon Boxer, Twice Different",Humble Games,Discord
77,1058830,Spin Rhythm XD,spin_rhythm_xd,https://cdn.cloudflare.steamstatic.com/steam/apps/1058830/header.jpg?t=1634170132,2066,75.7729,2237,2066,-1,0.76855,2019-10-22,1999,1999,0,0,0,309,6349,1,3310,,15394.0,64,131,279,1999.0,1689,1689,Super Spin Digital,Super Spin Digital,Discord
78,591460,Parkasaurus,parkasaurus,https://cdn.cloudflare.steamstatic.com/steam/apps/591460/header.jpg?t=1621632723,2022,69.595,2286,2022,70,0.670135,2020-08-12,2499,2499,0,0,0,937,26490,-1,5797,,15032.0,76,223,285,1999.0,12836,12836,Washbear Studio,Washbear Studio,Discord
79,1196630,Nexomon: Extinction,nexomon_extinction,https://cdn.cloudflare.steamstatic.com/steam/apps/1196630/header.jpg?t=1644606410,1772,81.4244,1904,1772,-1,0.84864,2020-08-28,1999,1999,0,0,0,1162,9614,0,2907,,19361.0,153,354,432,1999.0,14047,"14047,37327",VEWO Interactive Inc.,"VEWO Interactive Inc., PQube",Discord
80,541300,Survive the Nights,survive_the_nights,https://cdn.cloudflare.steamstatic.com/steam/apps/541300/header.jpg?t=1644502101,1737,53.1341,3042,1737,-1,0.268006,2017-12-21,1999,1999,0,0,0,1716,51420,1,2679,,12865.0,147,187,216,2499.0,53359,19464,a2z Interactive,a2z Interactive,Discord
81,999860,Enemy On Board,enemy_on_board,https://cdn.cloudflare.steamstatic.com/steam/apps/999860/header.jpg?t=1611187090,1556,70.4334,1556,67,-1,0.384089,2020-05-08,1999,1999,1,0,0,682,4032,1,-1,,7939.0,14,29,43,1999.0,30580,30580,Windwalk Games,Windwalk Games,Discord
82,1158370,Aragami 2,aragami_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1158370/header.jpg?t=1639584058,1538,65.0837,1829,1538,-1,0.587955,2021-09-17,3499,3499,0,0,0,1785,13726,0,1798,,20964.0,353,526,626,3499.0,17358,17358,Lince Works,Lince Works,Discord
83,1463920,hexceed,hexceed,https://cdn.cloudflare.steamstatic.com/steam/apps/1463920/header.jpg?t=1628677377,1476,70.976,1476,4,-1,0.693349,2021-01-15,0,0,1,0,0,747,946,0,8080,,13032.0,-1,-1,-1,0.0,37485,3795,ToastieLabs,ToastieLabs,Discord
84,342940,Project: Gorgon,project_gorgon,https://cdn.cloudflare.steamstatic.com/steam/apps/342940/header.jpg?t=1641260668,1469,71.0028,1649,1469,-1,0.693791,2018-03-12,3999,3999,0,0,0,653,13478,1,2303,,20616.0,49,172,330,3999.0,14201,14201,"Elder Game, LLC","Elder Game, LLC",Discord
85,602320,Train Valley 2,train_valley_2,https://cdn.cloudflare.steamstatic.com/steam/apps/602320/header.jpg?t=1643806169,1468,73.2699,1910,1468,-1,0.730276,2019-04-15,674,1499,0,0,0,430,13933,-1,5079,,2983.0,13,27,85,999.0,"5281,5282,51266","2131,13563","Sergey Dvoynikov, Timofey Shargorodskiy, Alexey Davydov","META Publishing, Flazm",Discord
86,280180,Hover,hover,https://cdn.cloudflare.steamstatic.com/steam/apps/280180/header.jpg?t=1639673910,1337,79.1741,1916,1337,-1,0.563607,2017-05-31,1999,1999,0,0,0,428,21975,-1,2343,57.25,2852.0,115,186,225,1999.0,"16343,17359",1095,"Midgar Studio, Fusty Game",Dear Villagers,Discord
87,577690,Spooky's Jump Scare Mansion: HD Renovation,spookys_jump_scare_mansion_hd_renovation,https://cdn.cloudflare.steamstatic.com/steam/apps/577690/header.jpg?t=1572462894,1328,76.445,1426,1328,-1,0.778506,2017-03-01,999,999,0,0,0,173,4291,0,2389,,16577.0,45,68,83,999.0,22341,1375,Albino Moose Games,Albino Moose Games,Discord
88,440310,Project Arrhythmia,project_arrhythmia,https://cdn.cloudflare.steamstatic.com/steam/apps/440310/header.jpg?t=1620574783,1301,80.6573,1433,1301,-1,0.838218,2019-06-14,1199,1199,0,0,0,99,2776,1,2321,,23480.0,16,32,35,1199.0,23217,24645,Vitamin Games,"Top Hat Studios, Inc.",Discord
89,370770,Holodrive,holodrive,https://cdn.cloudflare.steamstatic.com/steam/apps/370770/header.jpg?t=1628277623,1243,75.5367,1243,15,-1,0.505027,2021-03-16,0,0,1,1,0,1592,4229,-1,-1,,2022.0,-1,-1,-1,999.0,10289,5028,BitCake Studio,Versus Evil,Discord
90,1197260,The Perfect Tower II,the_perfect_tower_ii,https://cdn.cloudflare.steamstatic.com/steam/apps/1197260/header.jpg?t=1614362402,1242,73.4735,1242,-1,-1,0.733465,2021-02-26,0,0,1,0,0,2437,1367,1,-1,,,-1,-1,-1,0.0,20523,20523,Fire Sword Studios,Fire Sword Studios,Discord
91,1289380,Sheltered 2,sheltered_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1289380/header.jpg?t=1643292053,1241,52.2754,1333,1241,-1,0.228359,2021-09-21,1999,1999,0,0,0,2141,16654,-2,2533,,23589.0,206,317,371,1999.0,6895,32154,Unicube,Team17,Discord
92,711540,Lonely Mountains: Downhill,lonely_mountains_downhill,https://cdn.cloudflare.steamstatic.com/steam/apps/711540/header.jpg?t=1639577439,1236,73.2699,1470,1236,80,0.730276,2019-10-23,1999,1999,0,0,0,183,12875,0,4616,81.4737,17546.0,99,192,281,1999.0,7485,1174,Megagon Industries,Thunderful Publishing,Discord
93,1108590,Eldest Souls,eldest_souls,https://cdn.cloudflare.steamstatic.com/steam/apps/1108590/header.jpg?t=1632928999,1233,66.5723,1414,1233,76,0.616284,2021-07-29,1999,1999,0,0,0,719,19626,0,2950,,21226.0,232,314,355,1999.0,50973,"1988,1989",Fallen Flag Studio,"United Label, CI Games",Discord
94,1402020,SCP: Labrat,scp_labrat,https://cdn.cloudflare.steamstatic.com/steam/apps/1402020/header.jpg?t=1640642001,1161,75.2904,1161,-1,-1,0.761321,2021-05-17,0,0,1,0,0,100,7355,1,-1,,,-1,-1,-1,0.0,35687,35687,Bezbro Games,Bezbro Games,Discord
95,415860,Tactical Craft Online,tactical_craft_online,https://cdn.cloudflare.steamstatic.com/steam/apps/415860/header.jpg?t=1541831124,1155,48.2088,1155,17,-1,-1.0,2016-02-12,0,0,1,1,0,341,-1,1,-1,,6048.0,-1,-1,-1,0.0,11787,11787,Crematorium of Time,Crematorium of Time,Discord
96,1469250,Rubber Bandits: Christmas Prologue,rubber_bandits_christmas_prologue,https://cdn.cloudflare.steamstatic.com/steam/apps/1469250/header.jpg?t=1606897587,1104,74.8462,1104,-1,-1,0.754605,2020-12-01,0,0,1,0,0,1461,2186,0,-1,,13045.0,-1,-1,-1,0.0,7763,7763,Flashbulb,Flashbulb,Discord
97,1376070,Rushdown Revolt - Alpha Testing,rushdown_revolt_alpha_testing,https://cdn.cloudflare.steamstatic.com/steam/apps/1376070/header.jpg?t=1632361605,1037,82.4106,1037,-1,-1,0.629311,2020-09-10,0,0,1,0,0,272,2825,0,-1,,,-1,-1,-1,0.0,26469,26469,Vortex Games,Vortex Games,Discord
98,740250,Neos VR,neos_vr,https://cdn.cloudflare.steamstatic.com/steam/apps/740250/header.jpg?t=1644514447,1011,60.5485,1011,-1,-1,0.491684,2018-05-04,0,0,1,0,0,425,-1,1,-1,,8367.0,-1,-1,-1,0.0,7330,7331,Frooxius,Solirax,Discord
99,473770,BallisticNG,ballisticng,https://cdn.cloudflare.steamstatic.com/steam/apps/473770/header.jpg?t=1618363102,995,73.4538,2228,995,-1,0.733157,2018-12-14,799,799,0,0,0,109,5991,-1,3548,,4473.0,19,45,76,799.0,21540,21540,Neognosis,Neognosis,Discord
