,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
28,667530,Drunken Wrestlers 2,drunken_wrestlers_2,https://cdn.cloudflare.steamstatic.com/steam/apps/667530/header.jpg?t=1643801537,8266,79.6261,8266,-1,-1,0.824,2019-04-01,0,0,1,0,0,688,5036,1,5087,,3389.0,-1,-1,-1,0,31829,,Oleg Skutte,,Photon
29,681280,Descenders,descenders,https://cdn.cloudflare.steamstatic.com/steam/apps/681280/header.jpg?t=1643398945,8122,88.4485,9852,8122,78,0.938706,2019-05-07,2499,2499,0,0,0,1942,24973,-1,115,-1.0,7836.0,84,121,270,2499,7844,7845,RageSquid,No More Robots,Photon
30,280160,Aragami,aragami,https://cdn.cloudflare.steamstatic.com/steam/apps/280160/header.jpg?t=1635500283,8082,79.0318,10216,8082,71,0.815693,2016-10-04,1999,1999,0,0,0,1679,-1,0,3593,72.0312,2042.0,183,324,488,1999,17358,17358,Lince Works,Lince Works,Photon
31,604240,Shotgun Farmers,shotgun_farmers,https://cdn.cloudflare.steamstatic.com/steam/apps/604240/header.jpg?t=1635525576,7994,80.0124,8582,7994,-1,0.829355,2019-03-08,999,999,0,0,0,450,16158,-1,2178,,13920.0,15,30,44,999,15742,15742,Megastorm Games,Megastorm Games,Photon
32,780290,Gloomhaven,gloomhaven,https://cdn.cloudflare.steamstatic.com/steam/apps/780290/header.jpg?t=1645018282,7891,76.3246,8905,7891,82,0.776731,2021-10-20,3499,3499,0,0,0,6900,79600,-1,238,,11466.0,262,336,405,2499,12112,205,Flaming Fowl Studios,Asmodee Digital,Photon
33,1361000,In Silence,in_silence,https://cdn.cloudflare.steamstatic.com/steam/apps/1361000/header.jpg?t=1639062908,7474,68.71,9349,7474,-1,0.654827,2021-10-29,999,999,0,0,0,2327,47903,-1,450,,6604.0,317,917,2096,999,8053,8053,Ravenhood Games,Ravenhood Games,Photon
34,924140,Hand Simulator: Survival,hand_simulator_survival,https://cdn.cloudflare.steamstatic.com/steam/apps/924140/header.jpg?t=1576939679,6934,69.9661,9068,6934,-1,0.676452,2019-12-17,99,99,0,0,0,985,10261,0,2735,,3436.0,187,380,598,99,5320,5320,HFM Games,HFM Games,Photon
35,865360,We Were Here Together,we_were_here_together,https://cdn.cloudflare.steamstatic.com/steam/apps/865360/header.jpg?t=1643119926,6754,73.1558,8351,6754,77,0.728484,2019-10-10,1299,1299,0,0,0,2227,33828,0,594,75.0,1867.0,145,330,778,1299,7198,7198,Total Mayhem Games,Total Mayhem Games,Photon
36,1557740,ROUNDS,rounds,https://cdn.cloudflare.steamstatic.com/steam/apps/1557740/header.jpg?t=1625068074,6742,89.214,8112,6742,-1,0.73095,2021-04-01,599,599,0,0,0,1332,7551,-2,359,,12282.0,227,877,1741,599,43088,8202,Landfall,Landfall,Photon
37,469600,Legion TD 2 - Multiplayer Tower Defense,legion_td_2_multiplayer_tower_defense,https://cdn.cloudflare.steamstatic.com/steam/apps/469600/header.jpg?t=1634914369,6592,81.1273,7327,6592,-1,0.844619,2021-10-01,1999,1999,0,0,0,5696,31541,-1,657,,11068.0,304,410,487,1999,21702,21702,AutoAttack Games,AutoAttack Games,Photon
38,1085510,Garfield Kart - Furious Racing,garfield_kart_furious_racing,https://cdn.cloudflare.steamstatic.com/steam/apps/1085510/header.jpg?t=1623848855,6258,84.8238,8090,6258,-1,0.71913,2019-11-06,1499,1499,0,0,0,567,5373,0,3075,-1.0,5617.0,168,260,334,1499,2435,155,Artefacts Studio,Microids,Photon
39,1293230,House of Detention,house_of_detention,https://cdn.cloudflare.steamstatic.com/steam/apps/1293230/header.jpg?t=1640035734,6222,82.8266,7560,6222,-1,0.867367,2020-05-29,99,99,0,0,0,471,17716,0,5082,,6431.0,52,122,225,99,"6520,30163",6522,"Aniki, Male Union ♂",Dungeon Master,Photon
40,356570,Party Hard,party_hard,https://cdn.cloudflare.steamstatic.com/steam/apps/356570/header.jpg?t=1596223500,6218,84.3242,8317,6218,64,0.886932,2015-08-25,999,999,0,0,0,828,36296,0,3723,65.4,957.0,100,235,339,1289,"6899,6900",392,"Pinokl Games, Kverta",tinyBuild,Photon
41,633460,Tannenberg,tannenberg,https://cdn.cloudflare.steamstatic.com/steam/apps/633460/header.jpg?t=1643707369,6145,75.5333,7729,6145,69,0.764968,2017-11-16,1999,1999,0,0,0,1139,-1,-1,3149,68.2667,1816.0,384,707,904,1999,"7611,20452",7611,"M2H, Blackmill Games",M2H,Photon
42,298260,Only If,only_if,https://cdn.cloudflare.steamstatic.com/steam/apps/298260/header.jpg?t=1455028983,5992,61.1244,5992,42,39,-1.0,2014-07-25,0,0,1,0,0,702,-1,0,-1,,1158.0,-1,-1,-1,0,20958,20958,Creability,Creability,Photon
43,410340,Liftoff: FPV Drone Racing,liftoff_fpv_drone_racing,https://cdn.cloudflare.steamstatic.com/steam/apps/410340/header.jpg?t=1639774139,4949,85.8863,5155,4949,-1,0.90689,2018-09-13,1999,1999,0,0,0,619,16265,-1,626,,16814.0,-1,26,68,1999,7103,7103,LuGus Studios,LuGus Studios,Photon
44,1201240,BLEACH Brave Souls,bleach_brave_souls,https://cdn.cloudflare.steamstatic.com/steam/apps/1201240/header.jpg?t=1640336452,4855,75.5342,4855,-1,-1,0.764982,2020-08-17,0,0,1,0,0,5594,9564,0,1086,,11474.0,-1,-1,-1,0,26359,26359,KLab Inc.,KLab Inc.,Photon
45,453090,Parkitect,parkitect,https://cdn.cloudflare.steamstatic.com/steam/apps/453090/header.jpg?t=1629197655,4626,80.0084,5568,4626,83,0.8293,2018-11-29,2999,2999,0,0,0,1393,-1,-1,572,-1.0,8854.0,79,174,295,1799,8096,8096,Texel Raptor,Texel Raptor,Photon
46,513510,Intralism,intralism,https://cdn.cloudflare.steamstatic.com/steam/apps/513510/header.jpg?t=1595084751,4336,69.3606,4885,4336,-1,0.666115,2016-11-04,299,299,0,0,0,1744,-1,0,7246,,3258.0,-1,27,74,299,3609,3609,KHB-Soft,KHB-Soft,Photon
47,1435790,Escape Simulator,escape_simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/1435790/header.jpg?t=1642344571,4290,86.5243,4869,4290,-1,0.696372,2021-10-19,1499,1499,0,0,0,6616,39300,0,133,,6500.0,140,340,1944,1499,46122,24088,Pine Studio,Pine Studio,Photon
48,468920,Ultimate Fishing Simulator,ultimate_fishing_simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/468920/header.jpg?t=1643895212,4286,83.9303,4821,4286,70,0.881828,2018-08-30,1999,1999,0,0,0,480,25804,-1,1418,64.0,10098.0,41,106,183,1999,47249,265,Bit Golem,Ultimate Games S.A.,Photon
49,677160,We Were Here Too,we_were_here_too,https://cdn.cloudflare.steamstatic.com/steam/apps/677160/header.jpg?t=1643119892,3919,75.3788,5089,3919,69,0.76265,2018-02-02,149,999,0,0,0,960,25094,0,1326,73.3333,1298.0,178,278,322,999,7198,7198,Total Mayhem Games,Total Mayhem Games,Photon
50,289950,Construction Simulator 2015,construction_simulator_2015,https://cdn.cloudflare.steamstatic.com/steam/apps/289950/header.jpg?t=1592478189,3913,79.5033,5837,3913,-1,0.82229,2014-11-18,1499,1499,0,0,0,1798,39614,0,2061,-1.0,5794.0,43,63,108,2999,9812,3851,weltenbauer. Software Entwicklung GmbH,astragon Entertainment,Photon
51,512470,The Pirate: Caribbean Hunt,the_pirate_caribbean_hunt,https://cdn.cloudflare.steamstatic.com/steam/apps/512470/header.jpg?t=1607189984,3817,65.8621,3817,105,-1,0.602934,2016-08-24,0,0,1,0,0,1968,-1,0,4876,,4375.0,-1,-1,-1,0,2597,2597,Home Net Games,Home Net Games,Photon
52,1414850,Nickelodeon All-Star Brawl,nickelodeon_all_star_brawl,https://cdn.cloudflare.steamstatic.com/steam/apps/1414850/header.jpg?t=1643635532,3747,60.7075,4459,3747,-1,0.495375,2021-10-04,4999,4999,0,0,0,9120,16649,-2,2704,,8154.0,2201,2922,3268,4999,"4108,51410",6125,"Fair Play Labs, Ludosity",GameMill Entertainment,Photon
53,1106850,Totally Reliable Delivery Service Beta,totally_reliable_delivery_service_beta,https://cdn.cloudflare.steamstatic.com/steam/apps/1106850/header.jpg?t=1617117421,3632,82.9351,3632,-1,-1,0.573354,2019-06-24,0,0,1,0,0,808,42881,0,-1,,2699.0,-1,-1,-1,0,391,392,We're Five Games,tinyBuild,Photon
54,1071870,Biped,biped,https://cdn.cloudflare.steamstatic.com/steam/apps/1071870/header.jpg?t=1643453355,3573,81.807,4340,3573,74,0.85379,2020-03-26,1499,1499,0,0,0,1629,29465,0,917,75.7647,9448.0,92,199,274,1499,56,"56,262,2131",NEXT Studios,"NEXT Studios, bilibili, META Publishing",Photon
55,409590,KINGDOMS,kingdoms,https://cdn.cloudflare.steamstatic.com/steam/apps/409590/header.jpg?t=1607442467,3532,70.9916,3611,3532,-1,0.693605,2015-10-23,999,999,0,0,0,772,51146,1,5197,,15857.0,23,39,120,999,11232,11232,Oreol,Oreol,Photon
56,598980,The Coin Game,the_coin_game,https://cdn.cloudflare.steamstatic.com/steam/apps/598980/header.jpg?t=1618575496,3428,77.9526,3597,3428,-1,0.800389,2019-02-22,1399,1399,0,0,0,217,7138,1,1856,,11238.0,25,87,142,899,17266,17267,devotid,devotid Media,Photon
57,518150,Intruder,intruder,https://cdn.cloudflare.steamstatic.com/steam/apps/518150/header.jpg?t=1624833212,3391,75.9941,4370,3391,-1,0.771841,2019-03-01,1999,1999,0,0,0,1402,24790,1,1583,,8701.0,97,188,233,1999,8857,8857,Superboss Games,Superboss Games,Photon
58,398850,Epistory - Typing Chronicles,epistory_typing_chronicles,https://cdn.cloudflare.steamstatic.com/steam/apps/398850/header.jpg?t=1643637726,3376,75.7071,5716,3376,74,0.767567,2016-03-30,1499,1499,0,0,0,386,34692,-1,4040,77.4545,1322.0,49,89,127,999,3389,"3389,46809",Fishing Cactus,"Fishing Cactus, PID Games",Photon
59,257730,Infinity Wars: Animated Trading Card Game,infinity_wars_animated_trading_card_game,https://cdn.cloudflare.steamstatic.com/steam/apps/257730/header.jpg?t=1637714682,3376,74.6462,3376,69,-1,0.429879,2014-09-05,0,0,1,1,0,1604,19438,-1,-1,,2755.0,-1,-1,-1,0,23430,"23430,23431",Lightmare Studios,"Lightmare Studios, Yodo1 Games",Photon
60,1140270,Monster Prom 2: Monster Camp,monster_prom_2_monster_camp,https://cdn.cloudflare.steamstatic.com/steam/apps/1140270/header.jpg?t=1620810922,3273,82.9104,4041,3273,-1,0.868474,2020-10-23,1199,1199,0,0,0,1153,13967,0,597,,16769.0,883,1362,1992,1199,27985,8356,Beautiful Glitch,Beautiful Glitch,Photon
61,981430,Gordian Quest,gordian_quest,https://cdn.cloudflare.steamstatic.com/steam/apps/981430/header.jpg?t=1640915643,3254,71.4934,3584,3254,-1,0.701847,2020-03-27,1999,1999,0,0,0,1618,28443,1,2136,,18401.0,117,203,296,1999,"7402,7403","1115,7402","Mixed Realms Pte Ltd, Swag Soft Holdings Pte Ltd","Coconut Island Games, Mixed Realms Pte Ltd",Photon
62,926990,WolfQuest: Anniversary Edition,wolfquest_anniversary_edition,https://cdn.cloudflare.steamstatic.com/steam/apps/926990/header.jpg?t=1643299995,3222,86.1847,3749,3222,-1,0.910652,2019-07-25,1999,1999,0,0,0,2229,11022,1,950,,18784.0,129,181,214,1499,6781,6781,eduweb,eduweb,Photon
63,401190,Dinosaur Hunt,dinosaur_hunt,https://cdn.cloudflare.steamstatic.com/steam/apps/401190/header.jpg?t=1641647940,3012,65.5132,3541,3012,-1,0.596268,2015-09-17,99,99,0,0,0,1174,3875,0,9645,,2164.0,89,149,233,99,6233,3353,Racing Bros,ANPA.US,Photon
64,378720,Thea: The Awakening,thea_the_awakening,https://cdn.cloudflare.steamstatic.com/steam/apps/378720/header.jpg?t=1598446398,2983,86.3808,3369,2983,73,0.633127,2015-11-20,1999,1999,0,0,0,1696,47207,-1,14495,70.4118,8083.0,116,234,346,1999,3846,3846,MuHa Games,MuHa Games,Photon
65,823550,Booty Calls,booty_calls,https://cdn.cloudflare.steamstatic.com/steam/apps/823550/header.jpg?t=1632743369,2957,43.512,2957,2,-1,-1.0,2018-09-18,0,0,1,0,0,357,11128,0,966,,7818.0,-1,-1,-1,0,15075,2421,3X Entertainment Limited,Nutaku Publishing,Photon
66,512250,Oh...Sir!! The Insult Simulator,ohsir_the_insult_simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/512250/header.jpg?t=1620744448,2918,76.9721,3379,2918,64,0.786225,2016-10-25,61,199,0,0,0,660,7064,0,6730,63.3684,2375.0,288,612,1074,199,5756,1966,Vile Monarch,Good Shepherd Entertainment,Photon
67,763410,Long Live Santa!,long_live_santa,https://cdn.cloudflare.steamstatic.com/steam/apps/763410/header.jpg?t=1608144364,2889,66.3291,2889,-1,-1,0.611746,2017-12-19,0,0,1,0,0,367,2691,0,-1,,4886.0,-1,-1,-1,0,21081,21081,Doborog Games,Doborog Games,Photon
68,1070580,Drift86,drift86,https://cdn.cloudflare.steamstatic.com/steam/apps/1070580/header.jpg?t=1636591802,2868,81.3446,3211,2868,-1,0.847562,2019-11-19,49,199,0,0,0,331,2276,-1,5702,,10890.0,40,197,330,99,2092,2092,RewindApp,RewindApp,Photon
69,326160,Shroud of the Avatar: Forsaken Virtues,shroud_of_the_avatar_forsaken_virtues,https://cdn.cloudflare.steamstatic.com/steam/apps/326160/header.jpg?t=1572301170,2834,54.4831,2834,960,58,0.320537,2018-03-27,0,0,1,1,0,603,17116,-1,-1,,6583.0,25,40,68,0,27801,27801,Portalarium,Portalarium,Photon
70,433530,Heliborne Collection,heliborne_collection,https://cdn.cloudflare.steamstatic.com/steam/apps/433530/header.jpg?t=1640264601,2830,65.3817,3529,2830,71,0.593734,2017-10-12,2999,2999,0,0,0,1349,30985,-1,4316,75.0,6392.0,84,214,337,2999,1964,1964,Klabater,Klabater,Photon
71,1677740,Stumble Guys,stumble_guys,https://cdn.cloudflare.steamstatic.com/steam/apps/1677740/header.jpg?t=1638276059,2800,91.2802,3041,2800,-1,0.717375,2021-10-07,799,799,0,0,0,7027,2375,-2,264,,23813.0,15,30,60,799,51203,51203,Kitka Games,Kitka Games,Photon
72,461430,EmergeNYC,emergenyc,https://cdn.cloudflare.steamstatic.com/steam/apps/461430/header.jpg?t=1619220828,2797,49.009,3201,2797,-1,-1.0,2016-11-03,2499,2499,0,0,0,464,19225,1,2574,,14075.0,17,82,163,2499,13907,13907,FlipSwitch Games,FlipSwitch Games,Photon
73,412880,Drift Streets Japan,drift_streets_japan,https://cdn.cloudflare.steamstatic.com/steam/apps/412880/header.jpg?t=1631476616,2631,39.7172,3320,2631,-1,-1.0,2015-12-21,133,199,0,0,0,260,7729,0,9662,,2124.0,10,175,430,699,51972,36711,JDM4iK,SA Industry,Photon
74,434730,Half Dead,half_dead,https://cdn.cloudflare.steamstatic.com/steam/apps/434730/header.jpg?t=1561300455,2598,69.909,3204,2598,-1,0.675483,2016-08-01,99,199,0,0,0,236,15216,-1,6622,,4301.0,42,127,195,99,5830,5830,Room710Games,Room710Games,Photon
75,943380,Timberman VS,timberman_vs,https://cdn.cloudflare.steamstatic.com/steam/apps/943380/header.jpg?t=1568807686,2551,79.5076,2862,2551,-1,0.82235,2018-10-12,199,199,0,0,0,2602,891,0,6038,,15037.0,19,25,31,199,84,85,Digital Melody,Forever Entertainment S. A.,Photon
76,1053680,Granny Simulator,granny_simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/1053680/header.jpg?t=1573263642,2420,82.4374,3205,2420,-1,0.86221,2019-04-17,499,499,0,0,0,167,5353,1,1380,,13598.0,-1,27,172,499,1529,1529,Nick Kestle,Nick Kestle,Photon
77,1184160,RUSSIAPHOBIA,russiaphobia,https://cdn.cloudflare.steamstatic.com/steam/apps/1184160/header.jpg?t=1641707289,2396,67.9285,3388,2396,-1,0.641006,2020-12-25,99,99,0,0,0,462,16753,0,4374,,8853.0,-1,-1,-1,99,40155,40156,European Flameworms,Union Onion,Photon
78,641780,The Drone Racing League Simulator,the_drone_racing_league_simulator,https://cdn.cloudflare.steamstatic.com/steam/apps/641780/header.jpg?t=1643038888,2311,72.1016,2710,2311,-1,0.711709,2017-11-01,999,999,0,0,0,389,-1,-1,1378,,5997.0,-1,16,33,1999,24300,24300,The Drone Racing League,The Drone Racing League,Photon
79,513560,Hunger Dungeon,hunger_dungeon,https://cdn.cloudflare.steamstatic.com/steam/apps/513560/header.jpg?t=1633592265,2295,69.843,2295,133,-1,0.341964,2016-12-06,0,0,1,1,0,745,24316,-1,-1,-1.0,2836.0,-1,-1,38,0,51898,43297,No Stuck Game Studio,No Stuck Game Studio,Photon
80,306660,Ultimate General: Gettysburg,ultimate_general_gettysburg,https://cdn.cloudflare.steamstatic.com/steam/apps/306660/header.jpg?t=1562054645,2262,79.7557,2588,2262,84,0.544949,2014-10-16,1499,1499,0,0,0,910,20804,-1,5313,,2626.0,55,123,281,999,2055,2055,Game-Labs,Game-Labs,Photon
81,270450,Robot Roller-Derby Disco Dodgeball,robot_roller_derby_disco_dodgeball,https://cdn.cloudflare.steamstatic.com/steam/apps/270450/header.jpg?t=1580175857,2218,86.9528,3803,2218,-1,0.654488,2015-02-19,999,999,0,0,0,345,24688,-1,13601,,1075.0,108,173,234,999,9680,9681,Erik Asmussen,82 Apps,Photon
