steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher
545820,Wanderland,wanderland,https://cdn.cloudflare.steamstatic.com/steam/apps/545820/header.jpg?t=1588936548,304,56.4839,304,15,-1,0.385484,2016-12-20,0.0,0.0,1,0,0,59,688,0,15447,,5635.0,-1,-1,-1,0.0,10002,4348,Artogon,Jetdogs Studios
102850,Warp,warp,https://cdn.cloudflare.steamstatic.com/steam/apps/102850/header.jpg?t=1614960805,303,65.5822,339,303,-1,0.597591,2012-03-21,999.0,999.0,0,0,0,63,863,0,15680,,11825.0,-1,14,26,999.0,667,668,Trapdoor Inc.,Electronic Arts
1087270,Franchise Hockey Manager 6,franchise_hockey_manager_6,https://cdn.cloudflare.steamstatic.com/steam/apps/1087270/header.jpg?t=1633690504,302,72.8339,326,302,-1,0.723403,2019-10-11,1999.0,1999.0,0,0,0,280,998,0,-1,-1.0,22271.0,17,34,65,3999.0,"2466,53233",2466,"Out of the Park Developments, Minos Games",Out of the Park Developments
346630,Plazma Being,plazma_being,https://cdn.cloudflare.steamstatic.com/steam/apps/346630/header.jpg?t=1573060542,297,68.6372,388,297,-1,0.653552,2015-02-09,499.0,499.0,0,0,0,951,820,0,16381,,2554.0,-1,-1,-1,499.0,5995,5995,Felix Wunderlich,Felix Wunderlich
414510,5089: The Action RPG,5089_the_action_rpg,https://cdn.cloudflare.steamstatic.com/steam/apps/414510/header.jpg?t=1568814385,290,75.9739,315,290,-1,0.771541,2016-02-03,799.0,799.0,0,0,0,66,5445,0,6808,,19460.0,33,65,93,799.0,14346,14346,Phr00t's Software,Phr00t's Software
46770,Making History II: The War of the World,making_history_ii_the_war_of_the_world,https://cdn.cloudflare.steamstatic.com/steam/apps/46770/header.jpg?t=1572304640,285,74.5339,337,285,38,0.749847,2010-08-27,1499.0,1499.0,0,0,0,345,2931,0,10882,,7199.0,-1,-1,-1,1999.0,48251,6163,Muzzy Lane Software,Factus Games
754350,忍者村大战2,2,https://cdn.cloudflare.steamstatic.com/steam/apps/754350/header.jpg?t=1535097270,281,48.1101,281,-1,-1,-1.0,2018-01-31,0.0,0.0,1,0,0,110,3188,0,-1,,14980.0,-1,-1,-1,0.0,29483,29483,杭州分浪网络科技有限公司,杭州分浪网络科技有限公司
31220,Sam & Max 301: The Penal Zone,sam_max_301_the_penal_zone,https://cdn.cloudflare.steamstatic.com/steam/apps/31220/header.jpg?t=1613872984,256,83.9322,463,256,-1,0.881852,1970-01-01,0.0,0.0,0,0,1,156,1356,0,6071,,889.0,-1,-1,-1,1999.0,12577,13960,Telltale Games,Skunkape Games
252150,Grimm,grimm,https://cdn.cloudflare.steamstatic.com/steam/apps/252150/header.jpg?t=1447358666,253,79.978,31646,253,-1,0.828879,2014-01-06,0.0,0.0,0,0,0,30886,5688,0,12308,,499.0,12,27,39,399.0,21741,21741,Spicyhorse Games,Spicyhorse Games
310110,NS2: Combat,ns2_combat,https://cdn.cloudflare.steamstatic.com/steam/apps/310110/header.jpg?t=1533864698,247,49.8361,247,146,-1,-1.0,2014-10-31,0.0,0.0,1,0,0,128,-1,0,-1,,11951.0,22,34,48,0.0,33747,8793,Faultline Games,Unknown Worlds Entertainment
370070,Wyrmsun,wyrmsun,https://cdn.cloudflare.steamstatic.com/steam/apps/370070/header.jpg?t=1579986370,243,73.1344,243,29,-1,0.728147,2015-05-22,0.0,0.0,1,1,0,79,2083,0,-1,,6799.0,-1,10,11,0.0,10290,10290,Andrettin,Andrettin
1619220,Sprite Fantasia,sprite_fantasia,https://cdn.cloudflare.steamstatic.com/steam/apps/1619220/header.jpg?t=1634613528,243,46.5049,243,-1,-1,-1.0,2021-10-18,0.0,0.0,1,0,0,439,1173,-2,3294,,,-1,-1,-1,,25511,25511,"X-Legend Entertainment Co., Ltd.","X-Legend Entertainment Co., Ltd."
656970,MagiCat,magicat,https://cdn.cloudflare.steamstatic.com/steam/apps/656970/header.jpg?t=1642389315,241,82.034,442,241,-1,0.856832,2017-08-22,499.0,499.0,0,0,0,106,1109,0,12240,-1.0,5645.0,-1,-1,11,799.0,13416,"9491,45201",Kucing Rembes,"Toge Productions, Neon Doctrine"
1258870,Aura Kingdom 2,aura_kingdom_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1258870/header.jpg?t=1593732267,233,35.9823,233,-1,-1,-1.0,2020-06-17,0.0,0.0,1,0,0,188,1206,0,3617,,,-1,-1,-1,0.0,25511,25511,"X-Legend Entertainment Co., Ltd.","X-Legend Entertainment Co., Ltd."
555400,Collision Course,collision_course,https://cdn.cloudflare.steamstatic.com/steam/apps/555400/header.jpg?t=1590710896,230,70.6679,246,230,-1,0.688236,2017-01-07,999.0,999.0,0,0,0,20,-1,1,13637,,28919.0,17,31,37,999.0,7407,7407,Crynosaurs,Crynosaurs
404920,Emergency 2016,emergency_2016,https://cdn.cloudflare.steamstatic.com/steam/apps/404920/header.jpg?t=1572882870,229,46.6586,263,229,-1,-1.0,2015-10-15,0.0,0.0,0,0,0,139,2274,0,-1,,21339.0,16,21,27,3999.0,11213,7228,Sixteen Tons Entertainment,Deep Silver
