steam_appid,name,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,Free?,is_f2p,F2P?,Coming Soon?,coming_soon,peak_ccu,followers,early_access,Early Access?,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
313120,Stranded Deep,31782,68.6288,34452,31782,-1,0.457345,23/01/2015,1499,1499,0,No,0,No,No,0,5984,335689,1,Early Access,244,67.5,2445,1492,3163,4411,1499,16486,52790,Beam Team Games,Beam Team Publishing,Photon
1677740,Stumble Guys,2800,91.2802,3041,2800,-1,0.717375,07/10/2021,799,799,0,No,0,No,No,0,7027,2375,-2,Early Access History Unknown,264,,23813,15,30,60,799,51203,51203,Kitka Games,Kitka Games,Photon
843380,Super Animal Royale,28531,86.3654,28531,6404,-1,0.700214,26/08/2021,0,0,0,No,0,No,No,0,7514,38049,-1,Formerly Early Access,839,,3018,19,84,238,1299,14350,1435,Pixile,Modus Games,Photon
843380,Super Animal Royale,28531,86.3654,28531,6404,-1,0.700214,26/08/2021,0,0,0,No,0,No,No,0,7514,38049,-1,Formerly Early Access,839,,3018,19,84,238,1299,14350,1435,Pixile,Modus Games,Discord
1049410,Superliminal,13076,85.7814,15677,13076,-1,0.905563,05/11/2020,1999,1999,0,No,0,No,No,0,1255,48241,0,Never Had Early Access,574,,3084,932,2183,3818,1999,1411,1411,Pillow Castle,Pillow Castle,Photon
541300,Survive the Nights,1737,53.1341,3042,1737,-1,0.268006,21/12/2017,1999,1999,0,No,0,No,No,0,1716,51420,1,Early Access,2679,,12865,147,187,216,2499,53359,19464,a2z Interactive,a2z Interactive,Discord
1477630,Swing Dunk,274,60.3422,274,-1,-1,0.48685,15/09/2021,0,0,1,Yes,0,No,No,0,126,702,1,Early Access,15629,,,-1,-1,-1,0,32085,32085,BucketPlay.inc,BucketPlay.inc,Azure Playfab
798930,Swing Dunk (Beta),62,71.8406,62,-1,-1,0.707494,23/12/2019,,,1,Yes,1,Yes,No,0,54,361,0,Never Had Early Access,-1,,,-1,-1,-1,0,32085,32085,BucketPlay.inc,BucketPlay.inc,Azure Playfab
286160,Tabletop Simulator,29998,86.0812,51208,32151,-1,0.909348,05/06/2015,1999,1999,0,No,0,No,No,0,36793,-1,-1,Formerly Early Access,163,,161,66,157,249,1999,13971,13971,Berserk Games,Berserk Games,Discord
415860,Tactical Craft Online,1155,48.2088,1155,17,-1,-1,12/02/2016,0,0,1,Yes,1,Yes,No,0,341,-1,1,Early Access,-1,,6048,-1,-1,-1,0,11787,11787,Crematorium of Time,Crematorium of Time,Discord
720620,TaleSpire,1754,80.6147,2149,1754,-1,0.837636,14/04/2021,2499,2499,0,No,0,No,No,0,1403,64255,1,Early Access,402,,16720,188,401,632,2499,31718,31718,Bouncyrock Entertainment,Bouncyrock Entertainment,Photon
604500,Tank Force,1709,48.558,1709,-1,-1,-1,23/10/2017,0,0,1,Yes,0,No,No,0,328,-1,-1,Formerly Early Access,1088,,9266,-1,-1,-1,0,15743,15743,Extreme Developers,Extreme Developers,Photon
633460,Tannenberg,6145,75.5333,7729,6145,69,0.764968,16/11/2017,1999,1999,0,No,0,No,No,0,1139,-1,-1,Formerly Early Access,3149,68.2667,1816,384,707,904,1999,"761,120,452",7611,"M2H, Blackmill Games",M2H,Photon
633460,Tannenberg,6145,75.5333,7729,6145,69,0.764968,16/11/2017,1999,1999,0,No,0,No,No,0,1139,-1,-1,Formerly Early Access,3149,68.2667,1816,384,707,904,1999,"761,120,452",7611,"M2H, Blackmill Games",M2H,Discord
537630,Tee Time Golf,145,74.3791,151,145,-1,0.747479,31/08/2018,999,999,0,No,0,No,No,0,19,258,1,Early Access,-1,,24820,14,16,27,999,17187,17187,Barkers Crest Studio LLC,Barkers Crest Studio LLC,Azure Playfab
598980,The Coin Game,3428,77.9526,3597,3428,-1,0.800389,22/02/2019,1399,1399,0,No,0,No,No,0,217,7138,1,Early Access,1856,,11238,25,87,142,899,17266,17267,devotid,devotid Media,Photon
641780,The Drone Racing League Simulator,2311,72.1016,2710,2311,-1,0.711709,01/11/2017,999,999,0,No,0,No,No,0,389,-1,-1,Formerly Early Access,1378,,5997,-1,16,33,1999,24300,24300,The Drone Racing League,The Drone Racing League,Photon
