,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher
68,1734640,Yingzinue:Donghei,yingzinuedonghei,https://cdn.cloudflare.steamstatic.com/steam/apps/1734640/header.jpg?t=1646972720,-1,-1,5,5,-1,-1,2021-12-12,199,199,0,0,0,1,16,-2,-1,,,-1,-1,-1,199.0,55523,55523,呆蛙,呆蛙
69,1734670,Magic Girl Fal,magic_girl_fal,https://cdn.cloudflare.steamstatic.com/steam/apps/1734670/header.jpg?t=1635569770,-1,-1,2,2,-1,-1,2021-10-29,999,999,0,0,0,1,157,-2,-1,,,-1,-1,-1,999.0,29859,4471,Magical Girl Club,H-GAME
70,1734680,INCISION,incision,https://cdn.cloudflare.steamstatic.com/steam/apps/1734680/header.jpg?t=1641247540,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,280,1,-1,,,-1,-1,-1,,50134,50134,SmoothBrainDev,SmoothBrainDev
71,1734770,Niki in the Ship,niki_in_the_ship,https://cdn.cloudflare.steamstatic.com/steam/apps/1734770/header.jpg?t=1643883096,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,17,-2,-1,,,-1,-1,-1,,51238,51238,FromNiki,FromNiki
72,1734790,The Cruel kings,the_cruel_kings,https://cdn.cloudflare.steamstatic.com/steam/apps/1734790/header.jpg?t=1631335261,-1,-1,1,-1,-1,-1,2021-09-10,1999,1999,0,0,0,-1,3,-2,-1,,,-1,-1,-1,1899.0,32656,32656,Vitok,Vitok
73,1734810,Cubyrinth,cubyrinth,https://cdn.cloudflare.steamstatic.com/steam/apps/1734810/header.jpg?t=1643915626,-1,-1,2,1,-1,-1,2021-09-20,199,199,0,0,0,1,6,-2,-1,,,-1,-1,-1,199.0,50130,50130,AP2 Games,AP2 Games
74,1734830,Cheeky Princess,cheeky_princess,https://cdn.cloudflare.steamstatic.com/steam/apps/1734830/header.jpg?t=1632301816,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,25,-2,-1,,,-1,-1,-1,,52387,52387,DoriDreams,DoriDreams
75,1734850,Story of Nararale,story_of_nararale,https://cdn.cloudflare.steamstatic.com/steam/apps/1734850/header.jpg?t=1642353504,-1,-1,-1,-1,-1,-1,2024-12-02,0,0,0,0,1,-1,6,-2,-1,,,-1,-1,-1,,51582,51582,NPCs,NPCs
76,1734860,Sacred Curse,sacred_curse,https://cdn.cloudflare.steamstatic.com/steam/apps/1734860/header.jpg?t=1632301927,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,23,-2,-1,,,-1,-1,-1,,52387,52387,DoriDreams,DoriDreams
77,1734870,Shiba Army,shiba_army,https://cdn.cloudflare.steamstatic.com/steam/apps/1734870/header.jpg?t=1642896638,-1,-1,6,4,-1,-1,2022-01-06,499,499,0,0,0,1,6,-2,-1,,,-1,-1,-1,599.0,56432,56432,GabiVlg,GabiVlg
